user,userplays,artist,album,song,date
dumbasrocks,60,Bladee,Red Light,Hex,2023-07-30 00:03:47.554000+00:00
f7p,1295,Bladee,Icedancer,For Nothing,2023-07-30 00:04:04.904000+00:00
gokei,147,Bladee,Dragonfly,Dragonfly,2023-07-30 00:04:06.789000+00:00
aloegartem,77,Bladee,Working on Dying,Cherry Bracelets,2023-07-30 00:04:28.839000+00:00
meowcat437,898,Bladee,Crest,Heaven Sings,2023-07-30 00:04:42.445000+00:00
meowcat437,899,Bladee,Crest,Heaven Sings,2023-07-30 00:04:52.477000+00:00
mhuss,56,Bladee,D&G,Stalker,2023-07-30 00:05:15.984000+00:00
demy01,131,Varg²™,Evanescence (a Love Letter),Perfect Violation,2023-07-30 00:11:46.837000+00:00
ajekuza,37,Bladee,333,Mean Girls,2023-07-30 00:12:41.665000+00:00
meowcat437,900,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-30 00:12:50.758000+00:00
ajekuza,38,Bladee,333,Mean Girls,2023-07-30 00:12:51.659000+00:00
meowcat437,901,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-30 00:13:00.703000+00:00
dumbasrocks,61,Bladee,Gluee,Upgrade Enabled,2023-07-30 00:13:16.071000+00:00
mhuss,57,Bladee,EXETER,LOVESTORY,2023-07-30 00:13:31.286000+00:00
mhuss,58,Bladee,EXETER,LOVESTORY,2023-07-30 00:13:41.351000+00:00
ajekuza,39,Bladee,333,Mean Girls,2023-07-30 00:14:03.399000+00:00
mymagicisstrong,387,Yung Lean,Frost God,Hennessy & Sailor Moon,2023-07-30 00:14:03.939000+00:00
ajekuza,40,Bladee,rip bladee,50SACINMYSOCIDGAF,2023-07-30 00:17:10.097000+00:00
aloegartem,78,Bladee,Red Light,Obedient,2023-07-30 00:17:17.188000+00:00
aloegartem,79,Bladee,Red Light,Obedient,2023-07-30 00:17:17.188000+00:00
aloegartem,80,Bladee,Red Light,Obedient,2023-07-30 00:17:17.188000+00:00
aloegartem,81,Bladee,Red Light,Obedient,2023-07-30 00:17:26.728000+00:00
aloegartem,82,Bladee,Red Light,Obedient,2023-07-30 00:17:26.869000+00:00
ajekuza,41,Bladee,rip bladee,50SACINMYSOCIDGAF,2023-07-30 00:17:34.502000+00:00
ajekuza,42,Bladee,rip bladee,50SACINMYSOCIDGAF,2023-07-30 00:18:00.506000+00:00
ajekuza,43,Bladee,rip bladee,50SACINMYSOCIDGAF,2023-07-30 00:18:19.786000+00:00
mhuss,59,Bladee,EXETER,WONDERLAND,2023-07-30 00:18:26.267000+00:00
nehorai4nem,3,Bladee,333,Wings in Motion,2023-07-30 00:34:10.775000+00:00
ajekuza,44,Bladee,Vanilla Sky,Vanilla Sky,2023-07-30 00:34:11.867000+00:00
rickowenn,50,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-30 00:35:23.308000+00:00
rickowenn,51,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-30 00:35:33.331000+00:00
invane,1718,Bladee,AvP,Winter,2023-07-30 00:35:33.928000+00:00
mhuss,60,Bladee,333,Keys to the City,2023-07-30 00:35:37.284000+00:00
mhuss,61,Bladee,333,Keys to the City,2023-07-30 00:35:47.330000+00:00
.cunning,5,Bladee,The Fool,Hotel Breakfast,2023-07-30 00:33:54.517000+00:00
meowcat437,902,Dj Billybool,"The Promised Future Remixes, Vol. 1",Som Jag - Woesum Remix,2023-07-30 00:36:10.825000+00:00
dumbasrocks,62,Bladee,AvP,2X,2023-07-30 00:36:21.335000+00:00
tommyyyx,22,Bladee,Icedancer,For Nothing,2023-07-30 00:36:43.192000+00:00
dumbasrocks,63,Bladee,AvP,2X,2023-07-30 00:36:21.335000+00:00
mhuss,62,Bladee,Crest,5 Star Crest (4 Vattenrum),2023-07-30 00:38:04.975000+00:00
invane,1719,Bladee,Spiderr,DRESDEN ER,2023-07-30 00:38:38.365000+00:00
dumbasrocks,64,Bladee,Eversince,Rip,2023-07-30 00:38:38.684000+00:00
invane,1720,Bladee,Spiderr,DRESDEN ER,2023-07-30 00:38:48.220000+00:00
dumbasrocks,65,Bladee,Eversince,Rip,2023-07-30 00:38:52.457000+00:00
wikihow,10,Bladee,The Fool,Hotel Breakfast,2023-07-30 00:43:48.047000+00:00
invane,1721,Bladee,Icedancer,Frosty the Snowman,2023-07-30 00:43:56.061000+00:00
supwater,163,Bladee,Working on Dying,D-925,2023-07-30 00:44:22.809000+00:00
dumbasrocks,66,Bladee,D&G,Botox Lips,2023-07-30 00:44:36.839000+00:00
demy01,132,Bladee,Eversince,Sugar,2023-07-30 00:44:39.097000+00:00
gokei,148,Bladee,Icedancer,Be Nice 2 Me,2023-07-30 00:49:23.188000+00:00
gokei,149,Bladee,Icedancer,Be Nice 2 Me,2023-07-30 00:49:23.218000+00:00
invane,1722,Bladee,Eversince,So What,2023-07-30 00:49:29.314000+00:00
beabadoobee,8,Bladee,333,Reality Surf,2023-07-30 00:49:37.876000+00:00
beabadoobee,9,Bladee,333,Reality Surf,2023-07-30 00:49:39.131000+00:00
invane,1723,Bladee,Eversince,So What,2023-07-30 00:49:39.188000+00:00
_trashstar_,285,Bladee,Icedancer,Side by Side,2023-07-30 00:49:42.048000+00:00
beabadoobee,10,Bladee,333,Reality Surf,2023-07-30 00:49:48.056000+00:00
_trashstar_,286,Bladee,Icedancer,Side by Side,2023-07-30 00:49:52.072000+00:00
tommyyyx,23,Bladee,Icedancer,Waster,2023-07-30 00:50:02.084000+00:00
beabadoobee,11,Bladee,333,Noblest Strive,2023-07-30 00:51:40.499000+00:00
beabadoobee,12,Bladee,333,Reality Surf,2023-07-30 00:50:10.606000+00:00
beabadoobee,13,Bladee,AvP,2X,2023-07-30 00:51:53.656000+00:00
beabadoobee,14,Bladee,AvP,2X,2023-07-30 00:51:53.656000+00:00
beabadoobee,15,Yung Lean,Unknown Death 2002,Nitevision,2023-07-30 00:52:18.894000+00:00
demy01,133,Sickboyrari,Famous,Famous,2023-07-30 00:52:43.978000+00:00
angcls,414,Bladee,Icedancer,For Nothing,2023-07-30 01:07:45.032000+00:00
111ava,227,Bladee,Apple,Apple,2023-07-30 01:08:42.293000+00:00
gokei,150,Bladee,The Fool,egobaby,2023-07-30 01:08:44.538000+00:00
gokei,151,Bladee,The Fool,egobaby,2023-07-30 01:08:54.553000+00:00
cynnpai,105,Bladee,Working on Dying,Gatekeeper,2023-07-30 01:09:07.079000+00:00
